brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
dqn_s2042,dqn,2042,1001,122.49,62.35,43.38,146,3.755,2957,385.4,135.6,-24.919,313,0,246.31,163.46,174.97,5.195,0.262,0.0022,8,1,37,38,-470598.94,-263858.72,-475484.94,3620,-52428.5,1918
dqn_s2042,dqn,2042,1002,122.78,62.22,42.8,130,3.849,2930,386.4,136.0,-24.406,330,0,250.44,167.63,180.13,5.401,0.274,0.0,0,0,32,37,-469316.5,-261029.62,-474476.5,3620,-51886.2,1931
dqn_s2042,dqn,2042,1003,131.4,68.96,47.21,162,3.911,2908,399.4,141.1,-27.553,313,0,250.84,167.95,181.49,5.086,0.28,0.0,10,1,37,38,-510973.21,-295504.94,-519295.21,3620,-58799.0,1950
dqn_s2042,dqn,2042,1004,123.57,65.7,45.55,133,3.751,2942,387.1,136.6,-26.117,312,0,246.27,163.31,172.99,5.12,0.291,0.0,0,0,33,37,-476210.46,-277029.49,-481920.46,3620,-55106.2,1924
dqn_s2042,dqn,2042,1005,127.15,66.83,45.87,134,3.796,2931,392.8,138.6,-26.586,310,0,254.29,171.23,182.39,5.244,0.294,0.0,0,0,32,38,-492177.95,-284813.16,-498047.95,3620,-56627.6,1946
dqn_s2042,dqn,2042,1006,125.91,66.49,45.35,131,3.728,2917,390.1,137.6,-26.042,316,0,250.78,167.99,180.67,5.034,0.263,0.0,1,1,34,38,-486309.05,-281167.78,-493565.05,3620,-55833.6,1956
dqn_s2042,dqn,2042,1007,124.44,64.87,44.93,132,3.789,2943,388.2,136.8,-25.723,314,0,247.39,164.44,175.86,5.065,0.272,0.0025,9,1,37,38,-478565.75,-273396.98,-483833.75,3620,-54326.9,1925
dqn_s2042,dqn,2042,1008,121.01,59.94,41.96,131,3.773,2964,383.4,134.7,-23.95,326,0,246.75,163.72,175.6,5.241,0.259,0.0,9,3,34,37,-462709.44,-252081.22,-467965.44,3620,-50103.3,1899
dqn_s2042,dqn,2042,1009,116.56,58.98,41.53,129,3.573,2973,376.4,132.2,-23.595,315,0,243.82,160.79,172.09,5.086,0.269,0.0,0,0,33,37,-444476.12,-247217.81,-449504.12,3620,-49077.8,1893
dqn_s2042,dqn,2042,1010,120.88,61.86,42.83,115,3.683,2950,382.7,134.6,-24.806,326,0,247.53,164.76,177.16,5.159,0.276,0.0,0,0,31,37,-466900.9,-263967.01,-471544.9,3620,-52440.0,1920
dqn_s2042,dqn,2042,1011,127.97,65.91,44.48,132,3.941,2907,393.5,138.7,-25.372,329,0,256.81,173.86,188.2,5.512,0.256,0.0014,5,1,36,38,-490755.34,-276734.21,-497595.34,3620,-54954.7,1972
dqn_s2042,dqn,2042,1012,126.88,68.01,46.24,139,3.749,2910,393.1,138.9,-26.806,310,0,253.13,170.48,185.56,5.043,0.274,0.0,0,0,32,38,-492311.85,-289791.41,-500417.85,3620,-57579.2,1964
dqn_s2042,dqn,2042,1013,126.04,66.1,44.73,137,3.833,2911,391.0,137.9,-25.682,322,0,256.52,173.49,187.65,5.416,0.261,0.0022,8,1,36,37,-485165.7,-279249.72,-491837.7,3620,-55474.1,1969
dqn_s2042,dqn,2042,1014,125.1,63.84,44.08,139,3.764,2931,388.6,136.7,-25.21,318,0,254.22,171.39,187.7,5.278,0.244,0.0,0,0,30,38,-479300.92,-268660.99,-484070.92,3620,-53394.4,1930
dqn_s2042,dqn,2042,1015,120.51,62.13,42.98,123,3.706,2945,382.7,134.7,-24.551,321,0,251.7,168.58,183.5,5.366,0.236,0.0,13,1,37,37,-461428.08,-261069.93,-466442.08,3620,-51901.6,1925
dqn_s2042,dqn,2042,1016,120.0,60.52,42.29,135,3.731,2973,382.3,134.3,-24.005,324,0,245.84,162.91,176.75,5.239,0.261,0.0,1,1,34,37,-458168.23,-253391.31,-462554.23,3620,-50266.3,1903
dqn_s2042,dqn,2042,1017,127.12,64.5,44.27,132,3.858,2931,391.7,137.9,-25.458,314,0,251.85,168.89,182.89,5.249,0.281,0.0022,8,1,36,38,-489108.6,-272896.5,-494622.6,3620,-54225.5,1945
dqn_s2042,dqn,2042,1018,124.48,66.33,44.91,138,3.658,2914,388.4,137.0,-25.993,320,0,251.61,168.73,182.61,4.999,0.292,0.0022,8,1,37,38,-482400.29,-282238.59,-491378.29,3620,-56092.4,1969
dqn_s2042,dqn,2042,1019,120.0,61.11,41.92,119,3.733,2942,381.6,134.4,-24.008,316,0,251.27,168.31,180.05,5.43,0.294,0.0,0,0,33,37,-460023.45,-257600.44,-465741.45,3620,-51185.6,1945
dqn_s2042,dqn,2042,1020,125.54,66.11,45.47,140,3.793,2940,390.8,137.9,-26.676,321,0,251.47,168.52,180.47,5.275,0.265,0.0,0,0,31,38,-489615.65,-285332.54,-495191.65,3620,-56712.2,1936
dqn_s2042,dqn,2042,1021,122.31,64.51,44.49,141,3.7,2932,385.4,135.8,-25.506,315,0,246.48,163.62,175.55,5.054,0.275,0.0,0,0,29,37,-470806.5,-272125.91,-476354.5,3620,-54073.1,1934
dqn_s2042,dqn,2042,1022,118.15,60.45,42.12,127,3.69,2955,379.6,133.6,-23.975,328,0,244.62,161.74,174.56,5.202,0.274,0.0,9,1,35,37,-451739.73,-253468.52,-456791.73,3620,-50347.4,1906
dqn_s2042,dqn,2042,1023,125.3,63.94,44.18,139,3.8,2945,390.0,137.3,-25.462,318,0,250.79,167.92,181.29,5.262,0.264,0.0,0,0,32,37,-482101.49,-271340.79,-488647.49,3620,-53877.0,1928
dqn_s2042,dqn,2042,1024,118.4,61.19,42.54,126,3.656,2948,379.3,133.5,-24.273,315,0,244.91,161.98,174.69,5.14,0.277,0.0,0,0,31,37,-454168.54,-257276.89,-459650.54,3620,-51071.1,1918
dqn_s2042,dqn,2042,1025,120.3,61.91,42.73,134,3.693,2953,382.7,134.6,-24.296,318,0,248.09,165.37,178.22,5.156,0.246,0.0,0,0,32,37,-460187.66,-259303.8,-465907.66,3620,-51507.2,1931
dqn_s2042,dqn,2042,1026,130.7,68.87,46.77,136,3.861,2927,398.1,140.5,-26.834,315,0,255.98,173.28,186.49,5.189,0.277,0.0,0,0,32,37,-503659.57,-290556.84,-509299.57,3620,-57746.3,1965
dqn_s2042,dqn,2042,1027,120.36,60.89,43.0,140,3.694,2977,382.9,134.6,-24.475,322,0,244.79,162.22,171.65,5.145,0.251,0.0,0,0,33,38,-459763.7,-255307.55,-464011.7,3620,-50712.6,1882
dqn_s2042,dqn,2042,1028,123.61,64.08,44.71,142,3.738,2952,387.7,136.5,-26.141,318,0,248.24,165.23,174.99,5.122,0.266,0.0,0,0,31,38,-480915.25,-275907.92,-485917.25,3620,-54791.4,1908
dqn_s2042,dqn,2042,1029,120.37,61.9,43.08,131,3.621,2957,382.8,134.7,-24.658,309,0,245.99,163.0,174.49,5.013,0.284,0.0,0,0,33,37,-461551.12,-260715.36,-466691.12,3620,-51831.0,1920
dqn_s2042,dqn,2042,1030,119.21,59.4,41.07,136,3.784,2960,380.3,133.7,-23.359,336,0,248.74,165.85,178.32,5.403,0.274,0.0031,11,1,38,38,-455051.23,-249258.9,-460621.23,3620,-49474.6,1919
