brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff,delta_pct_act,delta_ic95_act,p_wilcoxon_act,p_mannwhitney_act,cliff_act,delta_pct_rl,delta_ic95_rl,p_wilcoxon_rl,p_mannwhitney_rl,cliff_rl
fijo,timeloss_prom,10,23.194,0.35,0.25,,,,,,,,,,,,,,,
fijo,espera_prom,10,9.634,0.272,0.195,,,,,,,,,,,,,,,
fijo,cola_prom,10,5.313,0.145,0.104,,,,,,,,,,,,,,,
fijo,cola_max,10,18.0,0.943,0.674,,,,,,,,,,,,,,,
fijo,paradas_prom,10,0.681,0.011,0.008,,,,,,,,,,,,,,,
fijo,throughput,10,1802.0,1.764,1.262,,,,,,,,,,,,,,,
fijo,co2_prom,10,196.11,0.769,0.55,,,,,,,,,,,,,,,
fijo,nox_prom,10,67.34,0.263,0.188,,,,,,,,,,,,,,,
fijo,recompensa_decision,10,-5.742,0.163,0.117,,,,,,,,,,,,,,,
fijo,cambios_fase,10,131.4,0.516,0.369,,,,,,,,,,,,,,,
actuado,timeloss_prom,10,15.455,0.248,0.177,-33.4,"[-34.2, -32.4]",0.00195,0.000183,-1.0,,,,,,,,,,
actuado,espera_prom,10,3.79,0.073,0.053,-60.7,"[-61.7, -59.6]",0.00195,0.00018,-1.0,,,,,,,,,,
actuado,cola_prom,10,2.399,0.035,0.025,-54.8,"[-55.9, -53.8]",0.00195,0.000181,-1.0,,,,,,,,,,
actuado,cola_max,10,11.5,1.08,0.773,-36.1,"[-40.1, -32.0]",0.00195,0.000141,-1.0,,,,,,,,,,
actuado,paradas_prom,10,0.491,0.011,0.008,-27.8,"[-29.1, -26.5]",0.00195,0.000183,-1.0,,,,,,,,,,
actuado,throughput,10,1807.5,1.179,0.843,0.3,"[0.2, 0.4]",0.00195,0.000187,0.99,,,,,,,,,,
actuado,co2_prom,10,180.54,0.654,0.468,-7.9,"[-8.2, -7.7]",0.00195,0.000177,-1.0,,,,,,,,,,
actuado,nox_prom,10,61.72,0.187,0.134,-8.3,"[-8.6, -8.1]",0.00195,0.000173,-1.0,,,,,,,,,,
actuado,recompensa_decision,10,-2.478,0.041,0.029,-56.8,"[-57.9, -55.8]",0.00195,0.000183,1.0,,,,,,,,,,
actuado,cambios_fase,10,203.0,2.828,2.023,54.5,"[53.3, 55.9]",0.00195,0.000136,1.0,,,,,,,,,,
rl,timeloss_prom,10,21.717,1.393,0.997,-6.4,"[-9.3, -2.7]",0.0137,0.00283,-0.8,,,,,,,,,,
rl,espera_prom,10,7.136,0.684,0.489,-25.9,"[-29.9, -21.1]",0.00195,0.000181,-1.0,,,,,,,,,,
rl,cola_prom,10,4.066,0.329,0.235,-23.5,"[-26.8, -19.3]",0.00195,0.000182,-1.0,,,,,,,,,,
rl,cola_max,10,18.4,0.966,0.691,2.2,"[-0.5, 5.1]",0.312,0.402,0.22,,,,,,,,,,
rl,paradas_prom,10,0.867,0.074,0.053,27.4,"[21.5, 34.1]",0.00195,0.000183,1.0,,,,,,,,,,
rl,throughput,10,1802.7,4.191,2.998,0.0,"[-0.1, 0.2]",0.766,0.646,0.13,,,,,,,,,,
rl,co2_prom,10,193.13,2.577,1.843,-1.5,"[-2.2, -0.8]",0.00977,0.00282,-0.8,,,,,,,,,,
rl,nox_prom,10,65.97,0.893,0.639,-2.0,"[-2.7, -1.3]",0.00391,0.00277,-0.8,,,,,,,,,,
rl,recompensa_decision,10,-4.226,0.358,0.256,-26.4,"[-29.8, -22.2]",0.00195,0.000183,1.0,,,,,,,,,,
rl,cambios_fase,10,232.7,5.122,3.664,77.1,"[74.4, 79.2]",0.00195,0.000132,1.0,,,,,,,,,,
ippo_local,timeloss_prom,10,15.051,0.291,0.208,-35.1,"[-36.0, -34.2]",0.00195,0.000182,-1.0,-2.6,"[-3.2, -2.0]",0.00195,0.00574,-0.74,-30.7,"[-33.0, -28.2]",0.00195,0.000182,-1.0
ippo_local,espera_prom,10,4.319,0.14,0.1,-55.2,"[-56.4, -53.9]",0.00195,0.000181,-1.0,14.0,"[11.6, 16.2]",0.00195,0.000182,1.0,-39.5,"[-42.7, -35.8]",0.00195,0.000183,-1.0
ippo_local,cola_prom,10,2.665,0.071,0.051,-49.8,"[-51.0, -48.6]",0.00195,0.000181,-1.0,11.1,"[9.1, 13.0]",0.00195,0.000181,1.0,-34.5,"[-37.4, -31.1]",0.00195,0.000182,-1.0
ippo_local,cola_max,10,10.5,1.08,0.773,-41.7,"[-44.7, -38.3]",0.00195,0.000141,-1.0,-8.7,"[-13.0, -3.7]",0.0273,0.0291,-0.56,-42.9,"[-45.9, -39.3]",0.00195,0.000146,-1.0
ippo_local,paradas_prom,10,0.413,0.009,0.007,-39.3,"[-40.4, -38.3]",0.00195,0.000182,-1.0,-15.9,"[-17.1, -14.6]",0.00195,0.000182,-1.0,-52.4,"[-54.6, -49.9]",0.00195,0.000182,-1.0
ippo_local,throughput,10,1808.3,1.494,1.069,0.3,"[0.3, 0.4]",0.00195,0.000167,1.0,0.0,"[-0.0, 0.1]",0.266,0.275,0.29,0.3,"[0.2, 0.4]",0.00586,0.00304,0.79
ippo_local,co2_prom,10,177.77,0.574,0.41,-9.4,"[-9.6, -9.1]",0.00195,0.00018,-1.0,-1.5,"[-1.7, -1.4]",0.00195,0.000176,-1.0,-8.0,"[-8.6, -7.3]",0.00195,0.000181,-1.0
ippo_local,nox_prom,10,60.98,0.187,0.134,-9.4,"[-9.7, -9.2]",0.00195,0.00017,-1.0,-1.2,"[-1.3, -1.1]",0.00195,0.000172,-1.0,-7.6,"[-8.2, -6.9]",0.00195,0.000176,-1.0
